ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
WPR13CA079,1,1/1/2013,1,Tuesday,423428N,1215226W,Chiloquin,OR,USA,0,0,NONE,SUBS,091 ,AIR ,INST,LOC-G,LDG
WPR13LA082,1,1/2/2013,1,Wednesday,361238N,1151140W,North Las Vegas,NV,USA,0,0,NONE,SUBS,091 ,AIR ,INST,LOC-G,LDG
WPR13FA083,1,1/2/2013,1,Wednesday,350358N,1203706W,Oceano,CA,USA,1,0,FATL,SUBS,091 ,AIR ,PERS,LOC-I,MNV
WPR13FA080,1,1/2/2013,1,Wednesday,354337N,1190945W,Delano,CA,USA,1,0,FATL,DEST,091 ,HELI,OWRK,UIMC,MNV
CEN13FA122,1,1/2/2013,1,Wednesday,430834N,0932858W,Clear Lake,IA,USA,3,0,FATL,DEST,091 ,HELI,POSI,LOC-I,ENR
ERA13FA101,1,1/1/2013,1,Tuesday,335310N,0871900W,Jasper,AL,USA,3,0,FATL,DEST,091 ,AIR ,PERS,OTHR,UND
ERA13LA104,1,1/2/2013,1,Wednesday,275456N,0822658W,Tampa,FL,USA,0,0,NONE,SUBS,091 ,HELI,INST,ARC,EMG
CEN13CA124,1,1/2/2013,1,Wednesday,305556N,0994833W,Menard,TX,USA,0,0,NONE,SUBS,091 ,HELI,PERS,ARC,LDG
ERA13FA105,1,1/4/2013,1,Friday,292732N,0811108W,Palm Coast,FL,USA,3,0,FATL,DEST,091 ,AIR ,PERS,SCF-PP,APR
ANC13CA019,1,1/4/2013,1,Friday,615419N,1485525W,Palmer,AK,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
WPR13FA086,1,1/6/2013,1,Sunday,354237N,1185414W,Woody,CA,USA,2,0,FATL,SUBS,091 ,AIR ,PERS,LOC-I,ENR
ERA13CA107,1,1/7/2013,1,Monday,371014N,0833455W,Bear Branch,KY,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,FUEL,ENR
CEN13FA130,1,1/11/2013,1,Friday,411206N,1002813W,Maxwell,NE,USA,4,0,FATL,DEST,091 ,AIR ,BUS ,LOC-I,ENR
CEN13LA127,1,1/2/2013,1,Wednesday,413925N,0860205W,Elkhart,IN,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
CEN13CA129,1,1/11/2013,1,Friday,455145N,0952400W,Alexandria,MN,USA,0,0,NONE,SUBS,135 ,AIR ,,RE,LDG
CEN13FA131,1,1/12/2013,1,Saturday,333945N,0953252W,Paris,TX,USA,3,0,FATL,DEST,091 ,AIR ,EXEC,LOC-I,ENR
ERA13FA109,1,1/12/2013,1,Saturday,272310N,0823343W,Sarasota,FL,USA,2,0,FATL,DEST,091 ,AIR ,PERS,UNK,ICL
ERA13LA110,1,1/12/2013,1,Saturday,335858N,0834003W,Winder,GA,USA,0,0,NONE,SUBS,091 ,AIR ,INST,SCF-PP,APR
ERA13LA113,1,1/13/2013,1,Sunday,355404N,0754205W,Manteo,NC,USA,1,0,FATL,DEST,091 ,AIR ,PERS,CFIT,APR
CEN13LA132,1,1/7/2013,1,Monday,341352N,0953715W,Antlers,OK,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,FUEL,ENR
