PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
-0.760432907,0.855820503,WPR13CA079,1,1/1/2013,1,Tuesday,423428N,1215226W,Chiloquin,OR,USA,0,0,NONE,SUBS,91,AIR ,INST,LOC-G,LDG
-0.745307789,0.910667262,WPR13LA082,1,1/2/2013,1,Wednesday,361238N,1151140W,North Las Vegas,NV,USA,0,0,NONE,SUBS,91,AIR ,INST,LOC-G,LDG
0.506847235,-0.250576458,WPR13FA083,1,1/2/2013,1,Wednesday,350358N,1203706W,Oceano,CA,USA,1,0,FATL,SUBS,91,AIR ,PERS,LOC-I,MNV
1.291157797,0.69222874,WPR13FA080,1,1/2/2013,1,Wednesday,354337N,1190945W,Delano,CA,USA,1,0,FATL,DEST,91,HELI,OWRK,UIMC,MNV
1.429710977,0.351238715,CEN13FA122,1,1/2/2013,1,Wednesday,430834N,0932858W,Clear Lake,IA,USA,3,0,FATL,DEST,91,HELI,POSI,LOC-I,ENR
0.600824305,-0.621348734,ERA13FA101,1,1/1/2013,1,Tuesday,335310N,0871900W,Jasper,AL,USA,3,0,FATL,DEST,91,AIR ,PERS,OTHR,UND
0.167752113,1.398973936,ERA13LA104,1,1/2/2013,1,Wednesday,275456N,0822658W,Tampa,FL,USA,0,0,NONE,SUBS,91,HELI,INST,ARC,EMG
-0.596722405,0.433887696,CEN13CA124,1,1/2/2013,1,Wednesday,305556N,0994833W,Menard,TX,USA,0,0,NONE,SUBS,91,HELI,PERS,ARC,LDG
0.814219004,-0.752701784,ERA13FA105,1,1/4/2013,1,Friday,292732N,0811108W,Palm Coast,FL,USA,3,0,FATL,DEST,91,AIR ,PERS,SCF-PP,APR
-0.939206896,-0.252359491,ANC13CA019,1,1/4/2013,1,Friday,615419N,1485525W,Palmer,AK,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.416404997,-0.700038275,WPR13FA086,1,1/6/2013,1,Sunday,354237N,1185414W,Woody,CA,USA,2,0,FATL,SUBS,91,AIR ,PERS,LOC-I,ENR
